id,type,wait_time,exec_time
280,2048-512,114584100.0,822960.0
268,2048-1024,357679400.0,3271200.0
246,2048-2048,808109200.0,13044000.0
273,2048-2048,270723400.0,13044000.0
263,4096-256,472180200.0,456702.44215938303
276,4096-512,213517800.0,1794325.1928020567
267,4096-4096,505224000.0,113043766.06683806
278,4096-4096,286561600.0,113043766.06683806
289,512-512,67046600.0,113754.03141361257
284,512-4096,174470500.0,7028298.4293193715
291,1024-512,35301300.0,340165.5172413793
292,1024-2048,20316500.0,5355379.310344827
295,1024-128,0.0,22852.41379310345
293,1024-1024,41273000.0,1345724.1379310344
281,1024-8192,320912600.0,85355862.06896552
297,256-512,1299700.0,66999.70802919708
296,256-1024,21491800.0,259054.01459854015
282,256-2048,302845200.0,1018715.3284671532
286,256-2048,222844200.0,1018715.3284671532
285,256-4096,245929400.0,4035970.802919708
294,4096-256,66849300.0,456702.44215938303
290,4096-2048,174748100.0,28328084.832904886
283,4096-8192,739100900.0,451714652.95629823
301,256-128,378737700.0,5276.14598540146
298,256-256,439521800.0,18064.642335766424
307,256-1024,258991500.0,259054.01459854015
311,256-1024,178991500.0,259054.01459854015
305,256-2048,299756500.0,1018715.3284671532
315,256-4096,102786500.0,4035970.802919708
303,256-8192,355068500.0,16076905.109489052
319,256-8192,35068500.0,16076905.109489052
320,256-8192,16067000.0,16076905.109489052
306,4096-128,297193000.0,118402.44215938303
316,4096-1024,104186600.0,7112075.835475579
309,4096-2048,265521100.0,28328084.832904886
314,4096-4096,257230400.0,113043766.06683806
321,1024-128,118239300.0,22852.41379310345
324,1024-256,58285200.0,86862.75862068965
300,1024-1024,539576200.0,1345724.1379310344
299,1024-2048,563608700.0,5355379.310344827
304,1024-4096,479689100.0,21371724.137931034
312,2048-256,320897600.0,208440.0
317,2048-256,220897600.0,208440.0
287,2048-512,822579700.0,822960.0
313,2048-512,301720600.0,822960.0
318,2048-512,202543600.0,822960.0
323,2048-512,102511500.0,822960.0
275,2048-2048,1077075500.0,13044000.0
288,2048-2048,816446700.0,13044000.0
325,4096-256,77012300.0,456702.44215938303
326,4096-256,57012300.0,456702.44215938303
327,4096-4096,150051000.0,113043766.06683806
302,4096-8192,988759100.0,451714652.95629823
341,256-128,209565200.0,5276.14598540146
340,256-256,229578000.0,18064.642335766424
350,256-512,29626900.0,66999.70802919708
346,256-1024,109819000.0,259054.01459854015
331,256-2048,410627700.0,1018715.3284671532
344,256-2048,150596800.0,1018715.3284671532
347,256-4096,93662900.0,4035970.802919708
338,1024-128,274685800.0,22852.41379310345
329,1024-4096,476078400.0,21371724.137931034
333,1024-4096,396078400.0,21371724.137931034
348,1024-4096,96057600.0,21371724.137931034
335,512-512,357171400.0,113754.03141361257
339,512-512,277171400.0,113754.03141361257
342,512-512,217171400.0,113754.03141361257
334,512-2048,378980900.0,1765774.8691099477
308,512-4096,904398900.0,7028298.4293193715
330,512-8192,485267800.0,28052670.157068063
353,1024-128,26148800.0,22852.41379310345
352,1024-4096,67499100.0,21371724.137931034
343,1024-8192,311580000.0,85355862.06896552
354,1024-8192,91502200.0,85355862.06896552
358,256-256,12414100.0,18064.642335766424
356,512-256,53443800.0,29671.675392670157
345,2048-256,274859200.0,208440.0
349,2048-2048,207694700.0,13044000.0
328,2048-4096,667113200.0,52092000.0
336,4096-512,509745600.0,1794325.1928020567
351,4096-512,209745600.0,1794325.1928020567
337,4096-1024,496857700.0,7112075.835475579
322,4096-8192,1241641900.0,451714652.95629823
376,256-128,161496900.0,5276.14598540146
363,256-256,421509700.0,18064.642335766424
370,256-256,281509700.0,18064.642335766424
367,256-2048,342510400.0,1018715.3284671532
377,256-2048,142515700.0,1018715.3284671532
381,256-2048,62528500.0,1018715.3284671532
384,256-2048,2528500.0,1018715.3284671532
369,512-128,303536600.0,8081.408376963351
373,512-512,223642300.0,113754.03141361257
378,512-512,123642300.0,113754.03141361257
362,512-1024,443982700.0,446058.6387434555
383,512-4096,30670600.0,7028298.4293193715
380,512-8192,111695000.0,28052670.157068063
366,2048-128,392748600.0,53532.0
371,2048-512,293518000.0,822960.0
361,2048-1024,496682800.0,3271200.0
364,2048-1024,436789200.0,3271200.0
382,2048-2048,89063800.0,13044000.0
237,2048-8192,3188093500.0,208200000.0
390,512-128,125822500.0,8081.408376963351
385,512-4096,232935900.0,7028298.4293193715
386,512-4096,212927300.0,7028298.4293193715
391,512-8192,133875200.0,28052670.157068063
394,1024-128,74898100.0,22852.41379310345
379,1024-256,375136900.0,86862.75862068965
388,1024-1024,196221000.0,1345724.1379310344
374,1024-2048,480428300.0,5355379.310344827
355,1024-4096,877369400.0,21371724.137931034
357,1024-8192,902513500.0,85355862.06896552
360,1024-8192,846447200.0,85355862.06896552
368,4096-128,686902700.0,118402.44215938303
372,4096-128,606902700.0,118402.44215938303
375,4096-128,547021200.0,118402.44215938303
387,4096-128,306846400.0,118402.44215938303
400,4096-256,47158300.0,456702.44215938303
399,4096-1024,73813600.0,7112075.835475579
365,4096-4096,860521800.0,113043766.06683806
406,512-256,40307200.0,29671.675392670157
408,512-1024,723000.0,446058.6387434555
404,512-4096,87305800.0,7028298.4293193715
407,512-4096,27335500.0,7028298.4293193715
392,256-1024,329664100.0,259054.01459854015
402,256-1024,129519200.0,259054.01459854015
393,256-8192,325482000.0,16076905.109489052
398,256-8192,225428000.0,16076905.109489052
401,1024-1024,167682900.0,1345724.1379310344
395,2048-1024,292099000.0,3271200.0
405,2048-1024,91029500.0,3271200.0
389,2048-2048,425143000.0,13044000.0
397,2048-2048,265089300.0,13044000.0
411,256-2048,1008800.0,1018715.3284671532
409,256-8192,41144900.0,16076905.109489052
396,2048-4096,355312000.0,52092000.0
253,2048-8192,3374699100.0,208200000.0
413,256-128,171294200.0,5276.14598540146
421,256-256,11015100.0,18064.642335766424
416,256-8192,127074000.0,16076905.109489052
415,2048-128,148127600.0,53532.0
419,2048-1024,71345200.0,3271200.0
420,2048-4096,100219600.0,52092000.0
310,2048-8192,2462310900.0,208200000.0
425,256-128,160494300.0,5276.14598540146
428,256-512,100281600.0,66999.70802919708
426,256-1024,140473700.0,259054.01459854015
431,256-8192,56291600.0,16076905.109489052
432,512-128,37299700.0,8081.408376963351
424,1024-128,198597000.0,22852.41379310345
430,1024-256,78386600.0,86862.75862068965
